BOM,,,Project:,ISOpower,PCB:,ISOpower_main,,,,
,,,,,,,,,,
Item#,Ref,Qnty,Manufacturer,MFG Part #,Description/Value,Description,Package,Type,JLC Part #,Instructions/Notes
,,,,,,,,,,
1,"C4, C11, C12, C15, C16, C22, C23, C24, C30, ",9,YAGEO,CC0805KRX7R9BB104,100n,Unpolarized capacitor 50v,0805,SMD,C49678,
2,"C7, C8, ",2,Samsung Electro-Mechanics,CL21C220JBANNNC,22p,Unpolarized capacitor 50v,0805,SMD,C1804,
3,"C9, C10, C21, ",3,Capxon International Elec,DV101M035E077ETR,100u,Polarized capacitor 35v,CP_Elec_6.3x7.7,SMD,C65221,
4,"C13, C14, ",2,ROQANG,RVT1H220M0605,22u,Polarized capacitor 50v,CP_Elec_6.3x5.4,SMD,C72505,
5,"C17, C18, ",2,Samsung Electro-Mechanics,CL21B102KBCNNNC,1n,Unpolarized capacitor,0805,SMD,C46653,
6,"C19, ",1,Ymin,LKFL21H681MF,680u,Polarized capacitor,C_Radial_D12.5mm_H20.0mm_P5.00mm,PTH,C270015,
7,"C20, ",1,KNSCHA,RVT220UF16V67RV0015,220u,Polarized capacitor,CP_Elec_6.3x7.7,SMD,C2887273,
8,"C25, ",1,FH(Guangdong Fenghua Advanced Tech),0805B472K500NT,4n7,Unpolarized capacitor,0805,SMD,C1744,
9,"D1, ",1,Taiwan Semiconductor(Taiwan Semicon),BZV55C18 L1G,BZV55B18,"18V, 500mW, 2%, Zener diode, MiniMELF",MiniMelf,SMD,C410854,
10,"D2, ",1,BrtLed(Bright LED Elec),BL-HB335A-AV-TRB-6,Blue,Light emitting diode,LED_0805,SMD,C138557,
11,"D3, ",1,Vishay Intertech,SS36-E3/57T,1N5821,"30V 3A Schottky Barrier Rectifier Diode, DO-201AD",D_SMA,SMD,C35722,
12,"D4, ",1,TECH PUBLIC,PRTR5V0U2X,PRTR5V0U2X,"Ultra low capacitance double rail-to-rail ESD protection diode, SOT-143",SOT-143,SMD,C2827688,
13,"D5, D6, ",2,Foshan NationStar Optoelectronics,NCD0805C1,GREEN,Light emitting diode,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,SMD,C84257,
14,"D7, D8, ",2,Foshan NationStar Optoelectronics,NCD0805R1,RED,Light emitting diode,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,SMD,C84256,
15,"J6, ",1,BOOMELE(Boom Precision Elec),C24980,1.27mm Header Pins 1x3,"Generic connector, single row, 01x03",PinHeader_1x03_P1.27mm_Vertical,PTH,C24980,
16,"J8, ",1,CJT(Changjiang Connectors),A2541WV-2x3P,"Straight 2 6 2.54mm Black Brass 2.54mm Plugin,P=2.54mm Pin Headers ROH", 6-pin ISP connector,HDR-TH_6P-P2.54-V-R2-C3-S2.54_A2541WV-2X3P,PTH,C225518,
17,"J9, J10, J11, J12, J13, ",5,LCSC,USB_A,USB_CH_A,USB Type A connector,USB-A-TH,PTH,C46406,
18,"J21, ",1,DIBO,DB128L-5.08-2P-GN-S,2pin Screw Terminal,CONN-TH_2P-P5.08_DB128L-5.08-2P,CONN-TH_2P-P5.08_DB128L-5.08-2P,PTH,C395868,
19,"J22, ",1,DIBO,DB128L-5.08-2P-GN-S,2pin Screw Terminal,CONN-TH_2P-P5.08_DB128L-5.08-2P,CONN-TH_2P-P5.08_DB128L-5.08-2P,PTH,C395868,
20,"J23, ",1,DIBO,DB128L-5.08-2P-GN-S,2pin Screw Terminal,CONN-TH_2P-P5.08_DB128L-5.08-2P,CONN-TH_2P-P5.08_DB128L-5.08-2P,PTH,C395868,
21,"J29, ",1,Ckmtw(Shenzhen Cankemeng),B-2201S10P-A121,1.27mm Header Socket 1x10,"Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)",HDR-TH_10P-P1.27-V-M,PTH,C124392,
22,"J31, ",1,SHOU HAN,MINI 5PTP,USB_B_Mini,USB Mini Type B connector,USB_Mini-B_Lumberg_2486_01_Horizontal,SMD,C2681563,
23,"L1, ",1,Sunlord,SDFL2012S100KTF,10uH,Inductor,L_0805_2012,SMD,C1046,
24,"L2, ",1,YJYCOIN,YPRH1207-330M,33uH,Inductor,"SMD,12x12x8mm",SMD,C339951,
25,"Q1, Q4, Q5, Q6, Q7, Q8, ",6,VBsemi Elec,IRF5305STR,IRF5305_PBF,"-31A Id, -55V Vds, Single P-Channel HEXFET Power MOSFET, 60mOhm Ron, TO-220AB",TO-263-2,SMD,C878890,
26,"Q2, Q3, ",2,VBsemi Elec,Si2319CDS,Si2319CDS,"-4.4A Id, -40V Vds, P-Channel MOSFET, SOT-23",SOT-23,SMD,C558254,
27,"Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, ",10,Guangdong Hottech,BC817-40,BC817,"0.8A Ic, 45V Vce, NPN Transistor, SOT-23",SOT-23,SMD,C181151,
28,"R1, R4, ",2,UNI-ROYAL(Uniroyal Elec),0805W8F3300T5E,330r,Resistor,0805,SMD,C17630,
29,"R1a1, R2b1, R3a1, R3b1, ",1,UNI-ROYAL(Uniroyal Elec),0805W8F5600T5E,560r,Resistor,0805,SMD,C28636,
30,"R1b1, R4b1, ",1,YAGEO,RC0805FR-07470RL,470r,Resistor,0805,SMD,C114564,
31,"R2a1, ",1,UNI-ROYAL(Uniroyal Elec),0805W8F2201T5E,2k2,Resistor,0805,SMD,C17520,
32,"R4a1, ",1,UNI-ROYAL(Uniroyal Elec),0805W8F2001T5E,2k0,Resistor,0805,SMD,C17604,
33,"R5, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R35, R36, R37, R38, R39, ",21,UNI-ROYAL(Uniroyal Elec),0805W8F1002T5E,10k,Resistor,0805,SMD,C17414,
34,"R8, ",1,UNI-ROYAL(Uniroyal Elec),0805W8F1004T5E,1M,Resistor,0805,SMD,C17514,
35,"R27, R28, R31, R32, R33, R34, ",6,UNI-ROYAL(Uniroyal Elec),0805W8F2200T5E,220r,Resistor,0805,SMD,C17557,
36,"SW1, ",1,XUNPU,TS-1088R-02026,SW_Push,"Push button switch, generic, two pins",SW_SPST_EVQPE1,SMD,C455280,
37,"U3, ",1,Microchip Tech,ATMEGA328PB-MU,ATmega328PB-M,"20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, QFN-32",QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,SMD,C967933,
38,"U6, U7, ",2,"Allegro MicroSystems, LLC",ACS712ELCTR-30A-T,ACS712xLCTR-30A,"Â±30A Bidirectional Hall-Effect Current Sensor, +5.0V supply, 66mV/A, SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,SMD,C9932,
39,"U8, ",1,WCH(Jiangsu Qin Heng),CH340C,CH340C,"USB serial converter, UART, SOIC-16",SOIC-16_3.9x9.9mm_P1.27mm,SMD,C84681,
40,"U10, ",1,"UMW(Youtai Semiconductor Co., Ltd.)",LM2596S-5.0,LM2596S-5,"5V 3A Step-Down Voltage Regulator, TO-263",TO-263-5_TabPin3,SMD,C347421,
41,"U15, U16, U17, U18, ",4,Guangdong Hottech,TL431,TL431DBZ,"Shunt Regulator, SOT-23",SOT-23,SMD,C181103,
42,"U19, ",1,Nexperia,"HEF4093BT,653",HEF4093B,"Quad 2-Input NAND Schmitt Trigger, SOIC-14",SOIC-14_3.9x8.7mm_P1.27mm,SMD,C7867,
43,"Y1, ",1,TAITIEN Elec,XVHCELNANF-16MHZ,16MHz,"Four pin crystal, GND on pins 2 and 4",OSC-SMD,SMD,C242216,
