Ref,Val,Package,PosX,PosY,Rot,Side
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.8705,-82.959043,0,top
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.128,-84.229043,0,top
C3,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,171.7255,-80.419043,0,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.128,-86.769043,0,top
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.368,-107.089043,-90,top
C26,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.208,-107.089043,90,top
C27,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.288,-103.681543,180,top
C28,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.398,-91.616543,180,top
C29,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.0855,-91.616543,180,top
D9,Blue,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,151.638,-95.659043,0,top
J20,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,127.348,-99.236543,-90,top
Q19,BC817,SOT-23,142.748,-93.119043,-90,top
Q20,BC817,SOT-23,146.685,-88.039043,0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.668,-81.689043,180,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.858,-81.689043,0,top
R24,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.638,-103.279043,0,top
R25,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.558,-93.119043,-90,top
R26,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,142.875,-88.039043,90,top
R29,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.638,-100.739043,0,top
R30,330r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.638,-98.199043,0,top
SW2,BOOT,SW_SPST_EVQPE1,144.493,-99.469043,180,top
SW3,EN,SW_SPST_EVQPE1,145.288,-82.959043,180,top
U1,ESP32-WROOM-32,ESP32-WROOM-32,164.803,-92.886543,-90,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,128.118,-86.769043,180,top
U13,TXS0102DCT,SSOP-8_2.95x2.8mm_P0.65mm,145.288,-107.089043,0,top
U14,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,136.333,-99.236543,0,top
