Ref,Val,Package,PosX,PosY,Rot,Side
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,233.2875,-100.5625,0,top
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,216.545,-101.8325,0,top
C3,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,253.1425,-98.0225,0,top
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.082011,-114.639511,180,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,216.545,-104.3725,0,top
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,231.785,-124.6925,-90,top
C7,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.172011,-114.639511,0,top
C8,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.922011,-121.624511,180,top
C9,100u,CP_Elec_6.3x7.7,72.839511,-126.704511,-90,top
C10,100u,CP_Elec_6.3x7.7,121.624511,-73.369511,90,top
C11,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.092011,-119.249511,180,top
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,76.137011,-73.364511,180,top
C13,22u,CP_Elec_6.3x5.4,98.614511,-116.709511,180,top
C14,22u,CP_Elec_6.3x5.4,86.959511,-73.999511,0,top
C15,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.327011,-113.534511,0,top
C16,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.067011,-72.729511,180,top
C17,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.719511,-119.952011,-90,top
C18,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.067011,-67.649511,180,top
C19,680u,C_Radial_D12.5mm_H20.0mm_P5.00mm,133.799511,-73.529511,90,top
C20,220u,CP_Elec_6.3x7.7,148.454511,-87.969511,0,top
C21,100u,CP_Elec_6.3x7.7,81.569511,-127.504511,180,top
C22,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.047011,-114.639511,0,top
C23,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,159.957011,-114.639511,0,top
C24,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.877011,-121.624511,180,top
C25,4n7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,164.56179,-107.654511,0,top
C26,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,221.625,-124.6925,90,top
C27,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,226.705,-121.285,180,top
C28,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,217.815,-109.22,180,top
C29,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,212.5025,-109.22,180,top
C30,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,85.307011,-112.899511,180,top
D1,BZV55B18,D_MiniMELF_Handsoldering,163.644511,-71.834511,-90,top
D2,Blue,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,149.429511,-133.054511,180,top
D3,1N5821,D_SMA,157.184511,-88.699511,-90,top
D4,PRTR5V0U2X,SOT-143,144.799511,-126.704511,90,top
D5,GREEN,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,76.014511,-119.494511,-90,top
D6,GREEN,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,68.759511,-45.589511,180,top
D7,RED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,73.474511,-119.494511,-90,top
D8,RED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,68.759511,-48.129511,180,top
D9,Blue,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,233.055,-113.2625,0,top
F1,20A,Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,159.324511,-43.309511,-90,top
J1,XT60_connector_DC_60A_male,AMASS_XT60PW-M,173.454511,-58.499511,-90,top
J2,ESP_GPIO_B,PinHeader_1x05_P1.27mm_Vertical,241.955,-125.9625,-90,top
J3,ESPpin4-7,PinHeader_1x04_P1.27mm_Vertical,238.77,-94.615,-90,top
J4,SDI-SDO,PinHeader_1x06_P1.27mm_Vertical,233.055,-110.0875,180,top
J5,ESP_GPIO_A,PinHeader_1x10_P1.27mm_Vertical,232.42,-94.615,-90,top
J6,prog_power_select,PinHeader_1x03_P1.27mm_Vertical,117.924511,-126.954511,180,top
J7,i2c Header,PinHeader_1x05_P1.27mm_Vertical,213.36,-94.615,90,top
J8,AVR-ISP,PinHeader_2x03_P1.27mm_Vertical,106.494511,-126.869511,0,top
J9,USB_CH_A,USB_A_Molex_67643_Horizontal,71.464511,-134.319511,0,top
J10,USB_CH_A,USB_A_Molex_67643_Horizontal,92.834511,-134.319511,0,top
J11,USB_CH_A,USB_A_Molex_67643_Horizontal,114.204511,-134.319511,0,top
J12,USB_CH_A,USB_A_Molex_67643_Horizontal,135.599511,-134.319511,0,top
J13,USB_CH_A,USB_A_Molex_67643_Horizontal,156.849506,-134.319511,0,top
J14,XT30_connector_DC_30A_female,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,78.044511,-48.129511,0,top
J15,XT30_connector_DC_30A_female,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,93.284511,-48.129511,0,top
J16,XT30_connector_DC_30A_female,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,108.524511,-48.129511,0,top
J17,XT30_connector_DC_30A_female,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,123.764511,-48.129511,0,top
J18,XT30_connector_DC_30A_female,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,139.004511,-48.129511,0,top
J20,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,208.765,-116.84,-90,top
J21,24vTerminal,TerminalBlock_Altech_AK300-2_P5.00mm,173.804511,-75.989511,90,top
J22,12vTerminal,TerminalBlock_Altech_AK300-2_P5.00mm,62.804511,-55.749511,-90,top
J23,5vTerminal,TerminalBlock_Altech_AK300-2_P5.00mm,62.044511,-121.234511,-90,top
J24,dio_spare,PinHeader_1x01_P1.27mm_Vertical,123.004511,-114.169511,180,top
J25,adc_spare,PinHeader_1x02_P1.27mm_Vertical,128.084511,-114.169511,-90,top
J26,USB_5v,PinHeader_1x01_P1.27mm_Vertical,175.074511,-129.409511,0,top
J29,wifi_header,PinSocket_1x10_P1.27mm_Vertical,130.004511,-127.747783,90,top
J30,3V3_spare,PinHeader_1x01_P1.27mm_Vertical,126.704511,-133.219511,0,top
J31,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,171.264511,-115.439511,90,top
L1,10uH,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,149.444511,-114.639511,0,top
L2,33uH,L_12x12mm_H8mm,134.304511,-85.089511,180,top
M1,Fan_IEC60617,Fan12V_40by10.5mm,67.809511,-70.629511,-90,top
Q1,IRF5305_PBF,TO-263-2,150.834511,-75.269511,180,top
Q2,Si2319CDS,SOT-23,115.274511,-75.904511,-90,top
Q3,Si2319CDS,SOT-23,89.652011,-113.534511,180,top
Q4,IRF5305_PBF,TO-263-2,78.994511,-58.524511,0,top
Q5,IRF5305_PBF,TO-263-2,96.774511,-58.524511,0,top
Q6,IRF5305_PBF,TO-263-2,114.439511,-58.524511,0,top
Q7,IRF5305_PBF,TO-263-2,132.104511,-58.524511,180,top
Q8,IRF5305_PBF,TO-263-2,148.294511,-59.124511,90,top
Q9,BC817,SOT-23,134.164511,-107.467011,90,top
Q10,BC817,SOT-23,139.244511,-107.467011,90,top
Q11,BC817,SOT-23,149.404511,-107.487011,90,top
Q12,BC817,SOT-23,139.514511,-99.579511,90,top
Q13,BC817,SOT-23,144.324511,-99.579511,90,top
Q14,BC817,SOT-23,149.404511,-99.554511,90,top
Q15,BC817,SOT-23,154.987697,-107.487011,90,top
Q16,BC817,SOT-23,159.96873,-107.487011,90,top
Q17,BC817,SOT-23,154.987697,-99.554511,90,top
Q18,BC817,SOT-23,159.96873,-99.554511,90,top
Q19,BC817,SOT-23,224.165,-110.7225,-90,top
Q20,BC817,SOT-23,226.705,-105.6425,0,top
R1,330r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,163.644511,-79.344511,0,top
R1a1,560r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,101.764511,-67.549511,0,top
R1b1,470r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,91.254511,-123.694511,0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,220.085,-99.2925,180,top
R2a1,2k2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,105.844511,-67.549511,0,top
R2b1,560r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.159511,-123.694511,0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,214.275,-99.2925,0,top
R3a1,560r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.019511,-67.549511,0,top
R3b1,560r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,99.239511,-123.694511,180,top
R4,330r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.914511,-126.704511,0,top
R4a1,2k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.924511,-70.724511,180,top
R4b1,470r,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,99.239511,-126.869511,0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.434511,-127.339511,-90,top
R6,5V_BUS_TRIM,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,111.464511,-113.369511,180,top
R7,BUS_A_trim,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,101.304511,-76.069511,0,top
R8,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.834511,-126.704511,0,top
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.164511,-111.609511,180,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.244511,-111.609511,180,top
R11,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.324511,-111.629511,0,top
R12,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.324511,-104.009511,0,top
R13,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.324511,-107.819511,180,top
R14,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.084511,-104.009511,180,top
R15,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.164511,-103.989511,0,top
R16,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.244511,-103.989511,180,top
R17,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.404511,-104.009511,180,top
R18,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.244511,-95.119511,0,top
R19,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.324511,-95.119511,0,top
R20,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.404511,-95.094511,0,top
R21,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.987697,-111.629511,180,top
R22,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,159.96873,-111.609511,0,top
